Zip Code,Region
357,Southeast
358,Southeast
359,Southeast
360,Southeast
361,Southeast
362,Southeast
363,Southeast
364,Southeast
365,Southeast
366,Southeast
367,Southeast
368,Southeast
369,Southeast
370,Southeast
371,Southeast
372,Southeast
373,Southeast
374,Southeast
375,Southeast
376,Southeast
377,Southeast
378,Southeast
379,Southeast
380,Southeast
381,Southeast
382,Southeast
383,Southeast
384,Southeast
385,Southeast
386,Southeast
387,Southeast
388,Southeast
389,Southeast
390,Southeast
391,Southeast
392,Southeast
393,Southeast
394,Southeast
395,Southeast
396,Southeast
397,Southeast
399,Southeast
400,Ohio River
401,Ohio River
402,Ohio River
403,Ohio River
404,Ohio River
405,Ohio River
406,Ohio River
407,Ohio River
408,Ohio River
409,Ohio River
410,Ohio River
411,Ohio River
412,Ohio River
413,Ohio River
414,Ohio River
415,Ohio River
416,Ohio River
417,Ohio River
418,Ohio River
419,Ohio River
420,Ohio River
421,Ohio River
422,Ohio River
423,Ohio River
424,Ohio River
425,Ohio River
426,Ohio River
427,Ohio River
430,Ohio River
431,Ohio River
432,Ohio River
437,Ohio River
438,Ohio River
439,Ohio River
450,Ohio River
451,Ohio River
452,Ohio River
453,Ohio River
454,Ohio River
455,Ohio River
456,Ohio River
457,Ohio River
459,Ohio River
470,Ohio River
471,Ohio River
472,Ohio River
473,Ohio River
474,Ohio River
475,Ohio River
476,Ohio River
477,Ohio River
478,Ohio River
619,Ohio River
620,Ohio River
622,Ohio River
623,Ohio River
624,Ohio River
625,Ohio River
626,Ohio River
627,Ohio River
628,Ohio River
629,Ohio River
433,Great Lakes
434,Great Lakes
435,Great Lakes
436,Great Lakes
440,Great Lakes
441,Great Lakes
442,Great Lakes
443,Great Lakes
444,Great Lakes
445,Great Lakes
446,Great Lakes
447,Great Lakes
448,Great Lakes
449,Great Lakes
458,Great Lakes
460,Great Lakes
461,Great Lakes
462,Great Lakes
463,Great Lakes
464,Great Lakes
465,Great Lakes
466,Great Lakes
467,Great Lakes
468,Great Lakes
469,Great Lakes
479,Great Lakes
480,Great Lakes
481,Great Lakes
482,Great Lakes
483,Great Lakes
484,Great Lakes
485,Great Lakes
486,Great Lakes
487,Great Lakes
488,Great Lakes
489,Great Lakes
490,Great Lakes
491,Great Lakes
492,Great Lakes
493,Great Lakes
494,Great Lakes
495,Great Lakes
496,Great Lakes
497,Great Lakes
498,Great Lakes
499,Great Lakes
530,Great Lakes
531,Great Lakes
532,Great Lakes
534,Great Lakes
535,Great Lakes
537,Great Lakes
538,Great Lakes
539,Great Lakes
540,Great Lakes
541,Great Lakes
542,Great Lakes
543,Great Lakes
544,Great Lakes
545,Great Lakes
546,Great Lakes
547,Great Lakes
548,Great Lakes
549,Great Lakes
600,Great Lakes
601,Great Lakes
602,Great Lakes
603,Great Lakes
604,Great Lakes
605,Great Lakes
606,Great Lakes
607,Great Lakes
608,Great Lakes
609,Great Lakes
610,Great Lakes
611,Great Lakes
612,Great Lakes
613,Great Lakes
614,Great Lakes
615,Great Lakes
616,Great Lakes
617,Great Lakes
618,Great Lakes
500,Upper Midwest
501,Upper Midwest
502,Upper Midwest
503,Upper Midwest
504,Upper Midwest
505,Upper Midwest
506,Upper Midwest
507,Upper Midwest
508,Upper Midwest
509,Upper Midwest
510,Upper Midwest
511,Upper Midwest
512,Upper Midwest
513,Upper Midwest
514,Upper Midwest
515,Upper Midwest
516,Upper Midwest
520,Upper Midwest
521,Upper Midwest
522,Upper Midwest
523,Upper Midwest
524,Upper Midwest
525,Upper Midwest
526,Upper Midwest
527,Upper Midwest
528,Upper Midwest
550,Upper Midwest
551,Upper Midwest
553,Upper Midwest
554,Upper Midwest
555,Upper Midwest
556,Upper Midwest
557,Upper Midwest
558,Upper Midwest
559,Upper Midwest
560,Upper Midwest
561,Upper Midwest
562,Upper Midwest
563,Upper Midwest
564,Upper Midwest
565,Upper Midwest
566,Upper Midwest
567,Upper Midwest
570,Upper Midwest
571,Upper Midwest
572,Upper Midwest
573,Upper Midwest
574,Upper Midwest
575,Upper Midwest
576,Upper Midwest
577,Upper Midwest
580,Upper Midwest
581,Upper Midwest
582,Upper Midwest
583,Upper Midwest
584,Upper Midwest
585,Upper Midwest
586,Upper Midwest
587,Upper Midwest
588,Upper Midwest
630,Lower Midwest
631,Lower Midwest
633,Lower Midwest
634,Lower Midwest
635,Lower Midwest
636,Lower Midwest
637,Lower Midwest
638,Lower Midwest
639,Lower Midwest
640,Lower Midwest
641,Lower Midwest
644,Lower Midwest
645,Lower Midwest
646,Lower Midwest
647,Lower Midwest
648,Lower Midwest
649,Lower Midwest
650,Lower Midwest
651,Lower Midwest
652,Lower Midwest
653,Lower Midwest
654,Lower Midwest
655,Lower Midwest
656,Lower Midwest
657,Lower Midwest
658,Lower Midwest
660,Lower Midwest
661,Lower Midwest
662,Lower Midwest
664,Lower Midwest
665,Lower Midwest
666,Lower Midwest
667,Lower Midwest
668,Lower Midwest
669,Lower Midwest
670,Lower Midwest
671,Lower Midwest
672,Lower Midwest
673,Lower Midwest
674,Lower Midwest
675,Lower Midwest
676,Lower Midwest
677,Lower Midwest
678,Lower Midwest
679,Lower Midwest
680,Lower Midwest
681,Lower Midwest
683,Lower Midwest
684,Lower Midwest
685,Lower Midwest
686,Lower Midwest
687,Lower Midwest
688,Lower Midwest
689,Lower Midwest
690,Lower Midwest
691,Lower Midwest
692,Lower Midwest
693,Lower Midwest
700,South Central
701,South Central
703,South Central
704,South Central
705,South Central
706,South Central
707,South Central
708,South Central
710,South Central
711,South Central
712,South Central
713,South Central
714,South Central
716,South Central
717,South Central
718,South Central
719,South Central
720,South Central
721,South Central
722,South Central
723,South Central
724,South Central
725,South Central
726,South Central
727,South Central
728,South Central
729,South Central
730,South Central
731,South Central
733,South Central
734,South Central
735,South Central
736,South Central
737,South Central
738,South Central
739,South Central
740,South Central
741,South Central
743,South Central
744,South Central
745,South Central
746,South Central
747,South Central
748,South Central
749,South Central
750,South Central
751,South Central
752,South Central
753,South Central
754,South Central
755,South Central
756,South Central
757,South Central
758,South Central
759,South Central
760,South Central
761,South Central
762,South Central
763,South Central
764,South Central
765,South Central
766,South Central
767,South Central
768,South Central
769,South Central
770,South Central
771,South Central
772,South Central
773,South Central
774,South Central
775,South Central
776,South Central
777,South Central
778,South Central
779,South Central
780,South Central
781,South Central
782,South Central
783,South Central
784,South Central
785,South Central
786,South Central
787,South Central
788,South Central
789,South Central
790,South Central
791,South Central
792,South Central
793,South Central
794,South Central
795,South Central
796,South Central
797,South Central
798,South Central
799,South Central
885,South Central
800,Lower Mountain
801,Lower Mountain
802,Lower Mountain
803,Lower Mountain
804,Lower Mountain
805,Lower Mountain
806,Lower Mountain
807,Lower Mountain
808,Lower Mountain
809,Lower Mountain
810,Lower Mountain
811,Lower Mountain
812,Lower Mountain
813,Lower Mountain
814,Lower Mountain
815,Lower Mountain
816,Lower Mountain
840,Lower Mountain
841,Lower Mountain
842,Lower Mountain
843,Lower Mountain
844,Lower Mountain
845,Lower Mountain
846,Lower Mountain
847,Lower Mountain
850,Lower Mountain
851,Lower Mountain
852,Lower Mountain
853,Lower Mountain
855,Lower Mountain
856,Lower Mountain
857,Lower Mountain
859,Lower Mountain
860,Lower Mountain
863,Lower Mountain
864,Lower Mountain
865,Lower Mountain
870,Lower Mountain
871,Lower Mountain
872,Lower Mountain
873,Lower Mountain
874,Lower Mountain
875,Lower Mountain
877,Lower Mountain
878,Lower Mountain
